concert_end_hour,day_type,concert_size,weather,time_since_end_minutes,distance_to_pickup_meters,surge_multiplier
23,weekday,small,cloudy,2,380,1.87
23,weekend,large,cloudy,15,650,3.43
21,weekday,small,cloudy,44,650,1.05
24,weekday,large,cloudy,78,120,1.89
22,weekday,medium,clear,84,450,1.05
22,weekday,small,cloudy,52,380,1.28
23,weekday,medium,cloudy,89,380,1.29
21,weekday,medium,clear,47,120,1.77
22,weekend,medium,cloudy,71,650,1.53
21,weekend,medium,cloudy,68,450,1.73
23,weekday,medium,cloudy,57,380,1.63
23,weekday,small,clear,41,380,1.49
23,weekday,large,clear,66,380,1.57
22,weekday,small,cloudy,19,650,1.34
21,weekend,small,cloudy,60,380,1.48
23,weekday,medium,cloudy,68,380,1.72
22,weekday,large,cloudy,63,380,1.71
23,weekday,medium,clear,12,450,2.06
21,weekend,medium,cloudy,83,380,1.46
19,weekday,medium,clear,12,380,1.67
22,weekday,large,cloudy,31,650,1.99
24,weekday,large,cloudy,78,380,1.68
19,weekday,large,cloudy,41,380,1.91
22,weekday,small,cloudy,45,120,1.7
22,weekday,large,cloudy,62,380,1.8
22,weekend,medium,cloudy,36,450,2.42
21,weekend,medium,cloudy,51,900,1.54
21,weekday,large,cloudy,57,650,1.39
23,weekend,large,cloudy,88,380,1.8
22,weekday,small,rain,38,900,1.23
21,weekday,large,cloudy,89,380,1.03
21,weekday,small,clear,39,900,1.0
22,weekday,medium,cloudy,20,380,2.17
21,weekday,medium,clear,67,650,1.04
21,weekday,medium,cloudy,65,380,1.29
21,weekend,large,cloudy,27,450,2.71
20,weekday,medium,cloudy,8,380,2.23
21,weekday,small,cloudy,0,380,1.46
21,weekend,small,cloudy,49,120,1.83
20,weekday,medium,cloudy,35,450,1.66
21,weekday,large,clear,61,120,1.67
20,weekend,large,cloudy,62,380,1.85
21,weekday,medium,clear,66,650,1.06
23,weekday,medium,cloudy,2,450,2.52
21,weekend,medium,cloudy,57,380,2.04
21,weekday,medium,cloudy,56,650,1.11
20,weekend,medium,cloudy,90,380,1.23
21,weekday,small,cloudy,60,450,1.16
22,weekday,large,cloudy,53,900,1.42
20,weekday,large,cloudy,1,380,3.11
21,weekday,medium,cloudy,58,120,1.81
22,weekday,large,cloudy,32,450,2.38
22,weekend,medium,cloudy,75,900,1.22
22,weekend,small,cloudy,88,120,1.73
23,weekday,small,cloudy,6,650,1.58
21,weekend,medium,cloudy,26,380,2.59
24,weekday,medium,cloudy,51,120,2.37
24,weekday,medium,cloudy,76,450,1.37
23,weekend,large,cloudy,45,900,2.31
22,weekend,medium,cloudy,39,650,2.06
21,weekend,medium,cloudy,43,120,2.49
23,weekday,large,cloudy,71,380,1.63
22,weekend,large,cloudy,73,380,1.96
21,weekend,large,cloudy,61,380,1.96
22,weekday,medium,cloudy,37,380,1.94
23,weekday,medium,cloudy,63,380,1.64
22,weekend,small,cloudy,64,900,1.17
22,weekday,large,cloudy,78,450,1.32
23,weekday,small,cloudy,87,380,1.24
19,weekday,small,cloudy,42,450,1.19
23,weekday,small,cloudy,24,650,1.4
22,weekday,small,cloudy,77,450,1.19
20,weekday,medium,cloudy,83,380,1.14
22,weekend,medium,cloudy,44,650,1.82
22,weekday,medium,rain,2,900,2.07
23,weekday,large,cloudy,26,450,2.44
21,weekday,large,rain,21,450,2.64
20,weekday,medium,cloudy,81,380,1.09
22,weekend,small,cloudy,78,900,1.16
22,weekday,medium,cloudy,71,450,1.31
22,weekday,medium,cloudy,82,380,1.35
22,weekend,medium,cloudy,80,900,1.24
22,weekday,medium,cloudy,29,650,1.76
21,weekend,large,cloudy,64,380,1.99
21,weekday,medium,cloudy,1,650,1.92
22,weekday,medium,cloudy,53,380,1.76
